"spec_id","module_tag","module_role","subunit","title","requirement","acceptance_criteria","implementation_status","mapped_code_symbols","mapped_confidence","mapped_consistency_score","mapped_problems","index_status","assumptions","last_indexed_at","mapped_test_cases"
"A1001","UI","frontend","calculation_ui","Calculator Page Layout","When the user opens the Calculator page, UI-ui.layout shall display a two-column layout with the input card on the left, the results panel on the right, and the Calculate button at the bottom-right of the input card.","When the page loads, the input card and results panel are visible in the specified positions and the Calculate button is rendered at the bottom-right of the input card.","Incomplete","","","","","unmapped","","",""
"A1002","UI","frontend","calculation_ui","Input Field Arrangement","When the user views the input card, UI-ui.input_fields shall render fields in this top-to-bottom order: sex, age, height_cm, weight_kg, activity_level, goal, and macro_preset, with labels and helper text beside each field.","When the input card is rendered, all seven fields appear in the defined order with visible labels and helper text.","Incomplete","","","","","unmapped","","",""
"A1003","UI","frontend","calculation_ui","Macro Preset Guidance","When the user selects a macro preset option, UI-ui.preset_help shall update a preset guidance panel below the selector to show target ratio and plain-language description for the selected preset.","When the user changes preset from Balanced to High Protein or Low Carb, the guidance panel updates immediately with the selected preset ratio and description.","Incomplete","","","","","unmapped","","",""
"A1004","UI","frontend","calculation_ui","Pre-Submit Confirmation Dialog","When the user clicks the Calculate button with a valid form, UI-ui.submit_dialog shall open a confirmation dialog centered on the page and display a summary of entered profile values with Confirm and Cancel actions.","When the user clicks Calculate on a valid form, the confirmation dialog opens with profile summary lines and both Confirm and Cancel actions.","Incomplete","","","","","unmapped","","",""
"A1005","UI","frontend","calculation_ui","Submit Request Workflow","When the user clicks Confirm in the confirmation dialog, UI-ui.submit_flow shall send one POST request to `/api/v1/nutrition/calculate`, close the dialog, and show an in-card loading state until a response is received.","When Confirm is clicked once, one POST request is sent, the dialog closes, and loading state is visible until the request completes.","Incomplete","","","","","unmapped","","",""
"A1006","UI","frontend","calculation_ui","Success Result Rendering","When the user receives an HTTP 200 response, UI-ui.success_render shall populate the results panel with calories_per_day, protein_g, carbs_g, fat_g, and a calculation timestamp block.","When a 200 response arrives, the results panel shows all five values using response data and the timestamp block becomes visible.","Incomplete","","","","","unmapped","","",""
"A1007","UI","frontend","calculation_ui","Validation Error Feedback","When the user receives an HTTP 422 response, UI-ui.validation_feedback shall map each server field error to its matching input field and display an error summary banner at the top of the input card.","When a 422 response contains field errors, matching input fields display error text and the summary banner lists the same fields.","Incomplete","","","","","unmapped","","",""
"A1008","UI","frontend","calculation_ui","Rate Limit Feedback","When the user receives an HTTP 429 response, UI-ui.rate_limit_feedback shall show a cooldown banner above the form with retry_seconds and enable a Retry action when the countdown reaches zero.","When a 429 response includes retry_seconds, the banner countdown matches retry_seconds and the Retry action becomes enabled at countdown completion.","Incomplete","","","","","unmapped","","",""
"A1009","UI","frontend","calculation_ui","Server Error Recovery UX","When the user receives an HTTP 500 response, UI-ui.server_error_feedback shall open an error modal containing a request_id message, keep current form values visible, and provide Retry and Close actions.","When a 500 response arrives, an error modal shows request_id, form values remain present, and Retry and Close actions are available.","Incomplete","","","","","unmapped","","",""
"A1010","API","api","calculation_api","Dependency Registry Handshake","When the system starts the FastAPI application, API-api.startup_registry shall run a startup handshake that verifies CORE calculator service, DATA food provider adapter, and OBS metrics recorder are registered and callable.","When application startup completes, handshake status for CORE, DATA, and OBS is recorded as ready or degraded in startup state.","Incomplete","","","","","unmapped","","",""
"A1011","API","api","calculation_api","Live Health Endpoint","When the user sends GET `/health/live`, API-api.health_live shall return HTTP 200 with a payload containing service_name, service_version, and current_time_utc.","When `/health/live` is called, response status is 200 and payload contains service_name, service_version, and current_time_utc fields.","Incomplete","","","","","unmapped","","",""
"A1012","API","api","calculation_api","Readiness Health Endpoint","When the user sends GET `/health/ready`, API-api.health_ready shall evaluate startup handshake state and return HTTP 200 for ready state or HTTP 503 for degraded state with component-level readiness details.","When startup state is ready, `/health/ready` returns 200 with component details. When startup state is degraded, `/health/ready` returns 503 with component details.","Incomplete","","","","","unmapped","","",""
"A1013","API","api","calculation_api","Request Parsing Entry","When the user sends POST `/api/v1/nutrition/calculate`, API-api.request_parse shall parse the JSON body into the shared request DTO and attach request_id to request context before business processing.","When a POST request is received, parsed DTO and request_id are both available in endpoint context.","Incomplete","","","","","unmapped","","",""
"A1014","API","api","calculation_api","Boundary Normalization","When the system receives a parsed request DTO, API-api.request_normalize shall normalize units and enumerations into canonical domain values before invoking CORE calculation logic.","When a parsed request enters normalization, the output payload uses canonical enum names and normalized numeric units.","Incomplete","","","","","unmapped","","",""
"A1015","API","api","calculation_api","Calculation Orchestration","When the system completes request normalization, API-api.compute_orchestration shall invoke CORE calorie and macro calculation service and return shared response DTO fields in the API response body.","When CORE service returns successfully, API response includes calories_per_day, protein_g, carbs_g, fat_g, and goal_adjustment fields.","Incomplete","","","","","unmapped","","",""
"A1016","API","api","calculation_api","Domain Validation Mapping","When the system receives a domain validation exception from CORE, API-api.domain_error_map shall return HTTP 422 with field_errors and a stable error_code for each invalid field.","When CORE raises validation exception, API responds with status 422 and structured field_errors plus stable error_code values.","Incomplete","","","","","unmapped","","",""
"A1017","API","api","calculation_api","Provider Failure Mapping","When the system receives a provider unavailable exception from DATA, API-api.provider_error_map shall return HTTP 503 with retry guidance and include request_id in the response body.","When DATA raises provider unavailable exception, API responds with status 503 and payload includes retry guidance plus request_id.","Incomplete","","","","","unmapped","","",""
"A1018","API","api","calculation_api","Rate Limit Middleware","When the user sends requests above the configured per-IP threshold, API-api.rate_limit_middleware shall return HTTP 429 with retry_seconds and emit a rate_limit metric event.","When request volume exceeds threshold for an IP, response status is 429 with retry_seconds and one rate_limit metric event is emitted.","Incomplete","","","","","unmapped","","",""
"A1019","API","api","calculation_api","Request ID Middleware","When the user sends any API request, API-api.request_id_middleware shall generate or accept a request_id, store it in request context, and include it in every response header.","For each API request, request context contains request_id and response header includes the same request_id value.","Incomplete","","","","","unmapped","","",""
"A1020","API","api","calculation_api","Response Envelope Shape","When the system returns a successful nutrition response, API-api.response_shape shall include result fields and metadata fields request_id, calculated_at_utc, and calculation_version in the response envelope.","When a successful response is produced, payload contains result fields and metadata fields request_id, calculated_at_utc, and calculation_version.","Incomplete","","","","","unmapped","","",""
"A1021","CORE","domain","calculation_domain","Domain Profile Validation","When the system receives a nutrition profile from API, CORE-core.profile_validation shall validate age, height_cm, weight_kg, sex, activity_level, and goal against configured domain ranges.","When profile values are outside configured ranges, validation returns structured domain validation errors with field names and messages.","Incomplete","","","","","unmapped","","",""
"A1022","CORE","domain","calculation_domain","BMR Formula Calculation","When the system receives a validated profile, CORE-core.bmr_formula shall calculate basal metabolic rate using the Mifflin-St Jeor formula for the profile sex and body measurements.","When validated profile inputs are provided, calculated BMR matches reference vectors for male and female cases within configured tolerance.","Incomplete","","","","","unmapped","","",""
"A1023","CORE","domain","calculation_domain","TDEE Formula Calculation","When the system has a computed BMR and activity level, CORE-core.tdee_formula shall compute TDEE by applying the configured activity multiplier to BMR.","When BMR and activity level are provided, TDEE equals BMR multiplied by the configured activity multiplier for that activity level.","Incomplete","","","","","unmapped","","",""
"A1024","CORE","domain","calculation_domain","Goal Calorie Adjustment","When the system has computed TDEE and user goal, CORE-core.goal_adjustment shall apply goal policy to derive target daily calories and include applied policy label in result metadata.","When goal is maintain, lose, or gain, target calories and policy label are returned using configured adjustment parameters.","Incomplete","","","","","unmapped","","",""
"A1025","CORE","domain","calculation_domain","Macro Allocation Policy","When the system has target daily calories and macro preset, CORE-core.macro_allocation shall allocate calories across protein, carbs, and fat according to preset ratios before gram conversion.","When preset is Balanced, High Protein, or Low Carb, macro calorie shares match configured ratio for that preset.","Incomplete","","","","","unmapped","","",""
"A1026","CORE","domain","calculation_domain","Rounding and Reconciliation","When the system converts macro calories to grams, CORE-core.rounding_reconcile shall round macro grams to configured precision and reconcile totals to stay within configured calorie tolerance.","When macro grams are rounded, reconstructed calories remain within configured tolerance of target daily calories.","Incomplete","","","","","unmapped","","",""
"A1027","SHARED","shared","shared_contracts","Nutrition Request Contract","When the system serializes or deserializes a nutrition calculation request, SHARED-shared.request_contract shall enforce a canonical DTO with explicit field names, field types, and enum sets used by UI and API.","When request DTO is used in UI or API, field names and enum values match the canonical shared contract definition.","Incomplete","","","","","unmapped","","",""
"A1028","SHARED","shared","shared_contracts","Nutrition Response Contract","When the system serializes or deserializes a nutrition calculation response, SHARED-shared.response_contract shall enforce a canonical DTO containing result values and metadata fields used by API and UI.","When response DTO is produced by API and consumed by UI, result and metadata fields match the shared contract definition.","Incomplete","","","","","unmapped","","",""
"A1029","DATA","infra","data_integration","External Provider Handshake","When the system starts the DATA adapter, DATA-data.provider_handshake shall verify provider credentials and connectivity by running a startup handshake request and recording handshake status.","When DATA startup runs, provider handshake status is recorded as connected or degraded with a timestamp.","Incomplete","","","","","unmapped","","",""
"A1030","DATA","infra","data_integration","Food Search Workflow","When the system receives a normalized food search query, DATA-data.search_workflow shall call the external provider search API and map provider records into internal food item DTO fields.","When a normalized query is submitted, mapped food item DTO records are returned with internal field names and units.","Incomplete","","","","","unmapped","","",""
"A1031","DATA","infra","data_integration","Provider Retry and Timeout","When the system receives timeout or transient provider errors during food search, DATA-data.retry_timeout shall execute configured retry attempts with backoff and return provider status after final attempt.","When transient errors occur, retry attempts follow configured count and backoff schedule, and final status is returned after last attempt.","Incomplete","","","","","unmapped","","",""
"A1032","DATA","infra","data_integration","Food Search Cache Flow","When the system processes a normalized search query, DATA-data.cache_flow shall read cache by normalized key and return cached response on hit or store fresh mapped response on miss.","When cache hit occurs, cached response is returned with cache_hit flag. When cache miss occurs, fresh response is stored and returned with cache_hit flag set to false.","Incomplete","","","","","unmapped","","",""
"A1033","OBS","infra","observability","Request Metrics Recording","When the system completes an API request, OBS-obs.metrics_record shall record a metrics event containing endpoint, status_code, duration_ms, and request_id.","When any API request completes, one metrics event is persisted with endpoint, status_code, duration_ms, and request_id.","Incomplete","","","","","unmapped","","",""
"A1034","OBS","infra","observability","Structured Log Recording","When the system emits an application log for request processing, OBS-obs.log_record shall write a structured log entry containing timestamp_utc, request_id, event_name, and key workflow attributes.","When request workflow logs are emitted, each entry includes timestamp_utc, request_id, event_name, and workflow attributes in structured format.","Incomplete","","","","","unmapped","","",""
"A1035","UI","frontend","user_management","Login Page Layout","When the user opens the Sign In page, UI-ui.login_layout shall display email and password fields in a centered auth card with a Sign In button below the fields and a Remember Me checkbox under the password field.","When the Sign In page loads, the auth card shows email field, password field, Remember Me checkbox, and Sign In button in the defined order.","Incomplete","","","","","unmapped","","",""
"A1036","UI","frontend","user_management","Login Request Trigger","When the user clicks the Sign In button with valid credentials entered, UI-ui.login_request_send shall send one POST request to `/api/v1/auth/login` containing email, password, and remember_me values.","When Sign In is clicked with valid field values, one POST request is sent with email, password, and remember_me fields.","Incomplete","","","","","unmapped","","",""
"A1037","SHARED","shared","user_management","Login Request DTO Contract","When the system serializes or deserializes an authentication request, SHARED-shared.login_request_contract shall enforce a canonical LoginRequest DTO with email, password, and remember_me fields.","When LoginRequest is used by UI and API, field names and types match the shared contract definition.","Incomplete","","","","","unmapped","","",""
"A1038","SHARED","shared","user_management","Login Response DTO Contract","When the system serializes or deserializes an authentication response, SHARED-shared.login_response_contract shall enforce a canonical LoginResponse DTO containing access_token, refresh_token, expires_at_utc, and user_profile fields.","When LoginResponse is produced by API and consumed by UI, access_token, refresh_token, expires_at_utc, and user_profile fields match the shared contract.","Incomplete","","","","","unmapped","","",""
"A1039","API","api","user_management","Login Request Parsing","When the user sends POST `/api/v1/auth/login`, API-api.login_request_parse shall parse the JSON body into LoginRequest DTO and attach request_id before credential verification workflow starts.","When POST `/api/v1/auth/login` is received, LoginRequest DTO and request_id are available in request context.","Incomplete","","","","","unmapped","","",""
"A1040","DATA","infra","user_management","Credential Lookup Workflow","When the system receives a login lookup call from API, DATA-data.credential_lookup shall fetch user credential record by normalized email and return password_hash, hash_algorithm, and account_status.","When API requests credential lookup for an email, DATA returns password_hash, hash_algorithm, and account_status for matching user.","Incomplete","","","","","unmapped","","",""
"A1041","CORE","domain","user_management","Password Verification Policy","When the system receives plaintext password and stored hash data, CORE-core.password_verify shall verify the password using configured hash algorithm and return verification_result and failure_reason.","When valid password and hash pair are provided, verification_result is success. When invalid pair is provided, verification_result is failed with failure_reason.","Incomplete","","","","","unmapped","","",""
"A1042","API","api","user_management","Token Issuance Workflow","When the system receives successful credential verification, API-api.login_token_issue shall issue access_token and refresh_token with expiry values based on remember_me policy.","When verification_result is success, API generates access_token, refresh_token, and expiry values matching remember_me policy windows.","Incomplete","","","","","unmapped","","",""
"A1043","API","api","user_management","Login Success Response","When the system completes token issuance, API-api.login_response_return shall return HTTP 200 with LoginResponse payload including user_profile and token expiry metadata.","When login succeeds, HTTP status is 200 and response body contains LoginResponse fields from shared contract.","Incomplete","","","","","unmapped","","",""
"A1044","UI","frontend","user_management","Login Success Navigation","When the user receives HTTP 200 from login, UI-ui.login_success_transition shall store session tokens in configured client storage and navigate the user to the Calculator page.","When login response status is 200, tokens are stored and navigation lands on Calculator page.","Incomplete","","","","","unmapped","","",""
"A1045","UI","frontend","user_management","Login Error Feedback","When the user receives HTTP 401 from login, UI-ui.login_error_feedback shall show an inline auth error banner above the email field and keep entered email value visible for retry.","When login response status is 401, auth error banner appears and email field retains the submitted value.","Incomplete","","","","","unmapped","","",""
"A1046","API","api","user_management","Session Validation Endpoint","When the user sends GET `/api/v1/auth/session` with bearer token, API-api.session_validate shall validate token signature and expiry and return active session profile for valid token.","When token is valid, `/api/v1/auth/session` returns HTTP 200 with session profile. When token is expired or invalid, endpoint returns HTTP 401 with error code.","Incomplete","","","","","unmapped","","",""
"A1047","UI","frontend","user_management","Session Restore On Startup","When the user opens the application with stored tokens, UI-ui.session_restore shall call `/api/v1/auth/session` and restore authenticated UI state after successful validation.","When stored token is valid, authenticated navigation and user header state are restored after session validation call.","Incomplete","","","","","unmapped","","",""
"A1048","UI","frontend","history_management","History Page Layout","When the user opens the History page, UI-ui.history_layout shall display a filter bar at the top, a paginated result table in the center, and a detail drawer on the right for selected history records.","When the History page loads, filter bar, paginated table, and detail drawer are visible in the specified layout.","Incomplete","","","","","unmapped","","",""
"A1049","UI","frontend","history_management","History Query Request Trigger","When the user clicks Apply Filters on the History page, UI-ui.history_query_send shall send one GET request to `/api/v1/history` with date_range, goal, and pagination query parameters.","When Apply Filters is clicked, one GET request is sent with date_range, goal, and pagination parameters matching UI filter values.","Incomplete","","","","","unmapped","","",""
"A1050","API","api","history_management","History Query Handling","When the user sends GET `/api/v1/history`, API-api.history_query_handle shall validate filter and pagination parameters, authorize user access scope, and invoke DATA history read workflow.","When history query is received, validated parameters and authorized user scope are passed to DATA read workflow.","Incomplete","","","","","unmapped","","",""
"A1051","DATA","infra","history_management","History Retention Write Workflow","When the system returns a successful nutrition calculation response, DATA-data.history_write shall persist a history record containing user_id, input_profile_snapshot, result_snapshot, and created_at_utc.","When calculation completes successfully, one history record is stored with user_id, input_profile_snapshot, result_snapshot, and created_at_utc.","Incomplete","","","","","unmapped","","",""
"A1052","DATA","infra","history_management","History Retention Read Workflow","When the system receives an authorized history query, DATA-data.history_read shall return records filtered by user_id and query filters sorted by created_at_utc descending.","When history query is executed, returned records match user_id scope and are sorted newest to oldest.","Incomplete","","","","","unmapped","","",""
"A1053","API","api","history_management","History Response Envelope","When the system returns history data to UI, API-api.history_response_shape shall include items, total_count, page, page_size, and has_next_page fields in the response envelope.","When history response is produced, envelope contains items, total_count, page, page_size, and has_next_page fields.","Incomplete","","","","","unmapped","","",""
"A1054","UI","frontend","history_management","History Item Restore Action","When the user clicks Restore on a history row, UI-ui.history_restore_action shall populate the Calculator form with that record input_profile_snapshot and open the confirmation dialog before recalculation.","When Restore is clicked for a history row, Calculator form fields match selected input snapshot and confirmation dialog becomes visible.","Incomplete","","","","","unmapped","","",""
"A1055","UI","frontend","export_management","Export Dialog Workflow","When the user clicks Export on the History page, UI-ui.export_dialog shall open a modal containing format selector, date range selector, and Include Input Details checkbox.","When Export is clicked, export modal appears with format selector, date range selector, and Include Input Details checkbox.","Incomplete","","","","","unmapped","","",""
"A1056","UI","frontend","export_management","Export Request Trigger","When the user clicks Generate Export in the modal, UI-ui.export_request_send shall send one POST request to `/api/v1/history/export` containing export_format, date_range, and include_input_details fields.","When Generate Export is clicked, one POST request is sent with export_format, date_range, and include_input_details values from modal controls.","Incomplete","","","","","unmapped","","",""
"A1057","SHARED","shared","export_management","Export Request DTO Contract","When the system serializes or deserializes an export request, SHARED-shared.export_request_contract shall enforce a canonical ExportRequest DTO with export_format, date_range_start, date_range_end, and include_input_details fields.","When ExportRequest is used by UI and API, field names and types match the shared contract.","Incomplete","","","","","unmapped","","",""
"A1058","API","api","export_management","Export Request Handling","When the user sends POST `/api/v1/history/export`, API-api.export_request_handle shall validate export parameters, authorize user scope, and invoke CORE export payload build workflow.","When export request is received, validated parameters and authorized scope are passed to CORE export payload build workflow.","Incomplete","","","","","unmapped","","",""
"A1059","CORE","domain","export_management","Export Payload Build","When the system receives validated export parameters, CORE-core.export_payload_build shall transform history records into ordered export rows with selected columns and locale-specific date formatting rules.","When export payload is built, rows are ordered by created_at_utc descending and selected columns match requested export settings.","Incomplete","","","","","unmapped","","",""
"A1060","DATA","infra","export_management","Export Artifact Persistence","When the system receives generated export content, DATA-data.export_artifact_store shall store the artifact with user ownership metadata and return artifact_id, file_name, and expiration_utc.","When export artifact is persisted, DATA returns artifact_id, file_name, and expiration_utc fields for the stored artifact.","Incomplete","","","","","unmapped","","",""
"A1061","API","api","export_management","Export Link Response","When the system receives artifact metadata from DATA, API-api.export_response_link shall return HTTP 200 with artifact_id, download_url, and expiration_utc in the response payload.","When export creation succeeds, HTTP 200 response includes artifact_id, download_url, and expiration_utc fields.","Incomplete","","","","","unmapped","","",""
"A1062","UI","frontend","export_management","Export Download Flow","When the user receives successful export response, UI-ui.export_download_flow shall show an export ready banner with Download File action and open the download_url in a new browser tab when clicked.","When export response is successful, export ready banner appears and Download File action opens the returned download_url.","Incomplete","","","","","unmapped","","",""
"A1063","OBS","infra","observability","Auth History Export Metrics","When the system completes login, history query, or export generation workflows, OBS-obs.auth_history_export_metrics shall record metrics events with request_id, workflow_type, status_code, and duration_ms.","When login, history, or export workflow completes, one metrics event is recorded with request_id, workflow_type, status_code, and duration_ms.","Incomplete","","","","","unmapped","","",""
